buyer_county,buyer_state,countyfips,count,dosage_unit,state,county,deaths,year,population,type,rate
ABBEVILLE,SC,45001,10749,4591000,,,,2014,25100,death_per_100k,
ABBEVILLE,SC,45001,10749,4591000,,,,2014,25100,pills_per_person,182.9
ACADIA,LA,22001,55952,22197708,Louisiana,"Acadia Parish, LA",39,2014,62031,death_per_100k,62.9
ACADIA,LA,22001,55952,22197708,Louisiana,"Acadia Parish, LA",39,2014,62031,pills_per_person,357.8
ACCOMACK,VA,51001,19536,6660470,Virginia,"Accomack County, VA",22,2014,33165,death_per_100k,66.3
ACCOMACK,VA,51001,19536,6660470,Virginia,"Accomack County, VA",22,2014,33165,pills_per_person,200.8
ADA,ID,16001,290484,136806828,Idaho,"Ada County, ID",269,2014,409239,death_per_100k,65.7
ADA,ID,16001,290484,136806828,Idaho,"Ada County, ID",269,2014,409239,pills_per_person,334.3
ADAIR,IA,19001,5752,1783165,,,,2014,7543,death_per_100k,
ADAIR,IA,19001,5752,1783165,,,,2014,7543,pills_per_person,236.4
ADAIR,KY,21001,21985,8783100,Kentucky,"Adair County, KY",14,2014,19032,death_per_100k,73.6
ADAIR,KY,21001,21985,8783100,Kentucky,"Adair County, KY",14,2014,19032,pills_per_person,461.5
ADAIR,MO,29001,32206,11822750,Missouri,"Adair County, MO",13,2014,25642,death_per_100k,50.7
ADAIR,MO,29001,32206,11822750,Missouri,"Adair County, MO",13,2014,25642,pills_per_person,461.1
ADAIR,OK,40001,23286,8600060,Oklahoma,"Adair County, OK",19,2014,22380,death_per_100k,84.9
ADAIR,OK,40001,23286,8600060,Oklahoma,"Adair County, OK",19,2014,22380,pills_per_person,384.3
ADAMS,CO,08001,276571,101865837,Colorado,"Adams County, CO",402,2014,461558,death_per_100k,87.1
ADAMS,CO,08001,276571,101865837,Colorado,"Adams County, CO",402,2014,461558,pills_per_person,220.7
ADAMS,IA,19003,1621,675900,,,,2014,3937,death_per_100k,
ADAMS,IA,19003,1621,675900,,,,2014,3937,pills_per_person,171.7
ADAMS,ID,16003,65,11000,,,,2014,3908,death_per_100k,
ADAMS,ID,16003,65,11000,,,,2014,3908,pills_per_person,2.8
ADAMS,IL,17001,60756,27210900,Illinois,"Adams County, IL",32,2014,67113,death_per_100k,47.7
ADAMS,IL,17001,60756,27210900,Illinois,"Adams County, IL",32,2014,67113,pills_per_person,405.4
ADAMS,IN,18001,19499,6777240,,,,2014,34533,death_per_100k,
ADAMS,IN,18001,19499,6777240,,,,2014,34533,pills_per_person,196.3
ADAMS,MS,28001,46504,21392220,,,,2014,32189,death_per_100k,
ADAMS,MS,28001,46504,21392220,,,,2014,32189,pills_per_person,664.6
ADAMS,ND,38001,3342,1016380,,,,2014,2339,death_per_100k,
ADAMS,ND,38001,3342,1016380,,,,2014,2339,pills_per_person,434.5
ADAMS,NE,31001,23815,7398963,,,,2014,31396,death_per_100k,
ADAMS,NE,31001,23815,7398963,,,,2014,31396,pills_per_person,235.7
ADAMS,OH,39001,34013,15284560,Ohio,"Adams County, OH",23,2014,28342,death_per_100k,81.2
ADAMS,OH,39001,34013,15284560,Ohio,"Adams County, OH",23,2014,28342,pills_per_person,539.3
ADAMS,PA,42001,61534,22424620,Pennsylvania,"Adams County, PA",29,2014,101566,death_per_100k,28.6
ADAMS,PA,42001,61534,22424620,Pennsylvania,"Adams County, PA",29,2014,101566,pills_per_person,220.8
ADAMS,WA,53001,14314,4649650,,,,2014,18951,death_per_100k,
ADAMS,WA,53001,14314,4649650,,,,2014,18951,pills_per_person,245.4
ADAMS,WI,55001,14960,4777620,Wisconsin,"Adams County, WI",15,2014,20604,death_per_100k,72.8
ADAMS,WI,55001,14960,4777620,Wisconsin,"Adams County, WI",15,2014,20604,pills_per_person,231.9
ADDISON,VT,50001,23859,6928220,Vermont,"Addison County, VT",24,2014,36883,death_per_100k,65.1
